,date,region_code,region,cases,recovered,active_cases,deceased
56,2020-12-02,07054,Santa Eulària des Riu,570.0,479.0,89.0,11.0
57,2020-12-03,07048,Sant Josep de sa Talaia,504.0,464.0,40.0,1.0
57,2020-12-03,0,total-eivissa,3500.0,3089.0,408.0,26.0
57,2020-12-03,07026,Eivissa,1768.0,1566.0,202.0,9.0
57,2020-12-03,07054,Santa Eulària des Riu,575.0,484.0,89.0,11.0
57,2020-12-03,07050,Sant Joan de Labritja,57.0,52.0,6.0,0.0
57,2020-12-03,07046,Sant Antoni de Portmany,596.0,523.0,71.0,5.0
58,2020-12-04,07046,Sant Antoni de Portmany,596.0,523.0,71.0,5.0
58,2020-12-04,07048,Sant Josep de sa Talaia,504.0,464.0,40.0,1.0
58,2020-12-04,07054,Santa Eulària des Riu,575.0,484.0,89.0,11.0
58,2020-12-04,0,total-eivissa,3500.0,3089.0,408.0,26.0
58,2020-12-04,07026,Eivissa,1768.0,1566.0,202.0,9.0
